year,month,commodity_group,cpi_value,inflation_rate_pct
2021,1,ALCOHOLIC BEVERAGES AND TOBACCO,137.6,11.3
2021,1,ALL ITEMS,108.4,3.7
2021,1,CLOTHING AND FOOTWEAR,105.9,1.6
2021,1,EDUCATION SERVICES,106.7,1.0
2021,1,FINANCIAL SERVICES,100.0,0.0
2021,1,FOOD AND NON-ALCOHOLIC BEVERAGES,110.7,5.9
2021,1,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",107.4,2.6
2021,1,HEALTH,110.4,3.8
2021,1,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",104.0,0.2
2021,1,INFORMATION AND COMMUNICATION,101.2,0.6
2021,1,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",106.2,2.4
2021,1,"RECREATION, SPORT AND CULTURE",104.1,-0.6
2021,1,RESTAURANTS AND ACCOMMODATION SERVICES,107.5,2.6
2021,1,TRANSPORT,108.8,6.6
2021,2,ALCOHOLIC BEVERAGES AND TOBACCO,139.4,11.7
2021,2,ALL ITEMS,108.5,4.2
2021,2,CLOTHING AND FOOTWEAR,106.1,1.7
2021,2,EDUCATION SERVICES,106.7,1.0
2021,2,FINANCIAL SERVICES,100.0,0.0
2021,2,FOOD AND NON-ALCOHOLIC BEVERAGES,110.3,6.2
2021,2,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",107.6,2.3
2021,2,HEALTH,110.9,3.9
2021,2,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",104.3,0.6
2021,2,INFORMATION AND COMMUNICATION,101.3,0.7
2021,2,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",106.5,2.4
2021,2,"RECREATION, SPORT AND CULTURE",104.3,-0.7
2021,2,RESTAURANTS AND ACCOMMODATION SERVICES,108.0,3.0
2021,2,TRANSPORT,108.8,8.2
2021,3,ALCOHOLIC BEVERAGES AND TOBACCO,140.4,11.3
2021,3,ALL ITEMS,108.2,4.1
2021,3,CLOTHING AND FOOTWEAR,106.4,1.7
2021,3,EDUCATION SERVICES,106.7,1.0
2021,3,FINANCIAL SERVICES,100.0,0.0
2021,3,FOOD AND NON-ALCOHOLIC BEVERAGES,108.9,5.3
2021,3,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",107.7,1.8
2021,3,HEALTH,111.3,4.0
2021,3,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",104.3,0.7
2021,3,INFORMATION AND COMMUNICATION,101.3,0.6
2021,3,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",106.7,2.4
2021,3,"RECREATION, SPORT AND CULTURE",104.4,-0.7
2021,3,RESTAURANTS AND ACCOMMODATION SERVICES,108.2,2.9
2021,3,TRANSPORT,110.4,11.9
2021,4,ALCOHOLIC BEVERAGES AND TOBACCO,140.9,11.2
2021,4,ALL ITEMS,108.1,4.1
2021,4,CLOTHING AND FOOTWEAR,106.5,1.7
2021,4,EDUCATION SERVICES,106.7,1.0
2021,4,FINANCIAL SERVICES,143.3,43.3
2021,4,FOOD AND NON-ALCOHOLIC BEVERAGES,108.4,3.8
2021,4,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",108.0,1.9
2021,4,HEALTH,111.5,4.0
2021,4,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",104.3,1.3
2021,4,INFORMATION AND COMMUNICATION,101.3,0.6
2021,4,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",106.8,2.4
2021,4,"RECREATION, SPORT AND CULTURE",104.5,-0.6
2021,4,RESTAURANTS AND ACCOMMODATION SERVICES,108.6,3.3
2021,4,TRANSPORT,110.7,16.6
2021,5,ALCOHOLIC BEVERAGES AND TOBACCO,141.4,11.1
2021,5,ALL ITEMS,108.1,4.1
2021,5,CLOTHING AND FOOTWEAR,106.7,1.9
2021,5,EDUCATION SERVICES,106.7,1.0
2021,5,FINANCIAL SERVICES,143.3,43.3
