ibtracs_storm_id,philippine_name,international_name,landfall_date,affected_region_codes
2021046N06142,Auring,DUJUAN,2021-02-21,R5|R8
2021132N06132,VERIFY,UNNAMED,2021-05-13,BARMM|R10|R11|R12|R13|R9
2021148N05142,Dante,CHOI-WAN,2021-06-01,R8
2021185N13121,VERIFY,UNNAMED,2021-07-03,R4B
2021248N11131,Jolina,CONSON,2021-09-06,R3|R4A|R5|R8
2021276N07131,Maring,LIONROCK,2021-10-04,R13|R4B|R8
2021296N06127,VERIFY,UNNAMED,2021-10-22,BARMM|R11|R12
2021346N05145,Odette,RAI,2021-12-16,R4B|R7|R8
2022099N11128,Agaton,MEGI,2022-04-10,R8
2022232N18131,Florita,MA-ON,2022-08-23,CAR|R2
2022264N17132,Karding,NORU,2022-09-25,R3
2022299N11134,Paeng,NALGAE,2022-10-28,NCR|R3|R4A|R5
2023101N14127,VERIFY,UNNAMED,2023-04-11,R3|R4A|R5
2023194N16123,Egay,TALIM,2023-07-13,CAR|R1|R2
2023349N04141,Odi,JELAWAT,2023-12-18,R10|R11|R12|R13
2024141N03142,Aghon,EWINIAR,2024-05-24,R4A|R5|R8
2024198N08130,Carina,PRAPIROON,2024-07-17,R4B|R5|R8
2024244N09137,Enteng,YAGI,2024-09-01,CAR|R1|R2|R5
2024259N17126,Julian,SOULIK,2024-09-16,CAR|R1|R2
2024293N13141,Kristine,TRAMI,2024-10-23,CAR|R1|R2
2024312N14145,Queenie,TORAJI,2024-11-11,CAR|R1|R2
2024313N10169,Pepito,MAN-YI,2024-11-17,CAR|R1|R2|R3
2024314N07151,Rosita,USAGI,2024-11-14,R2
2025203N20124,Butchoy,CO-MAY,2025-07-24,CAR|R1|R2
2025233N15126,Ferdie,KAJIKI,2025-08-22,CAR|R1|R2
2025259N13126,Helen,MITAG,2025-09-16,CAR|R1|R2
2025266N11137,Leon,BUALOI,2025-09-25,R8
2025274N14133,Inday,MATMO,2025-10-03,CAR|R2
2025289N13140,Julian,FENGSHEN,2025-10-18,R3|R4A
2025305N08140,Nika,KALMAEGI,2025-11-03,R4B|R6|R7|R8
2025308N09144,Ofel,FUNG-WONG,2025-11-09,R2
2025328N07132,Queenie,KOTO,2025-11-24,R13|R7|R8
2026034N10137,Auring,PENHA,2026-02-05,R13|R7|R8
